2017/03/03 15:34:11 stream opened
2017/03/03 15:34:11 stream opened
2017/03/03 15:34:11 stream opened
2017/03/03 15:34:11 stream opened
2017/03/03 15:34:13 stream closed
2017/03/03 15:34:13 stream opened
2017/03/03 15:34:14 stream opened
2017/03/03 15:34:14 stream opened
2017/03/03 15:34:17 stream closed
2017/03/03 15:34:17 stream opened
2017/03/03 15:34:17 stream opened
2017/03/03 15:34:20 stream opened
2017/03/03 15:34:20 stream closed
2017/03/03 15:34:20 stream opened
2017/03/03 15:34:24 stream closed
2017/03/03 15:34:24 stream closed
2017/03/03 15:34:24 stream closed
2017/03/03 15:34:24 stream closed
2017/03/03 15:34:24 stream closed
2017/03/03 15:34:24 stream closed
2017/03/03 15:34:24 stream opened
2017/03/03 15:34:46 stream closed
2017/03/03 15:34:46 stream closed
2017/03/03 15:34:46 stream closed
2017/03/03 15:34:46 stream opened
2017/03/03 15:35:01 stream opened
2017/03/03 15:35:05 stream opened
2017/03/03 15:35:06 stream opened
2017/03/03 15:35:06 stream closed
2017/03/03 15:35:06 stream closed
2017/03/03 15:35:08 stream opened
2017/03/03 15:35:20 stream closed
2017/03/03 15:35:24 stream closed
2017/03/03 15:35:26 stream closed
2017/03/03 15:35:50 stream closed
2017/03/03 15:35:51 stream closed
2017/03/03 15:35:53 stream opened
2017/03/03 15:36:01 stream closed
2017/03/03 15:36:07 stream closed
2017/03/03 15:36:07 stream closed
2017/03/03 15:36:16 stream closed
2017/03/03 15:36:17 stream closed
2017/03/03 15:36:17 stream closed
2017/03/03 15:36:26 stream closed
2017/03/03 15:36:36 stream closed
2017/03/03 15:36:36 stream opened
2017/03/03 15:36:40 stream opened
2017/03/03 15:36:42 stream opened
2017/03/03 15:36:46 stream opened
2017/03/03 15:36:46 stream opened
2017/03/03 15:36:46 stream opened
2017/03/03 15:36:46 stream opened
2017/03/03 15:36:48 stream opened
2017/03/03 15:36:48 stream opened
2017/03/03 15:36:51 stream opened
2017/03/03 15:36:52 stream opened
2017/03/03 15:36:52 stream opened
2017/03/03 15:36:52 stream opened
2017/03/03 15:36:52 stream opened
2017/03/03 15:36:52 stream opened
2017/03/03 15:36:55 stream opened
2017/03/03 15:36:55 stream closed
2017/03/03 15:36:56 stream opened
2017/03/03 15:37:21 stream closed
2017/03/03 15:37:22 stream closed
2017/03/03 15:37:22 stream closed
2017/03/03 15:37:22 stream closed
2017/03/03 15:37:22 stream closed
2017/03/03 15:37:22 stream closed
2017/03/03 15:37:22 stream opened
2017/03/03 15:37:43 stream closed
2017/03/03 15:37:49 stream closed
2017/03/03 15:37:52 stream closed
2017/03/03 15:37:52 stream closed
2017/03/03 15:37:54 stream closed
2017/03/03 15:37:54 stream opened
2017/03/03 15:37:55 stream closed
2017/03/03 15:37:55 stream closed
2017/03/03 15:37:56 stream closed
2017/03/03 15:37:57 stream closed
2017/03/03 15:37:58 stream closed
2017/03/03 15:37:58 stream closed
2017/03/03 15:38:07 stream closed
2017/03/03 15:38:10 stream opened
2017/03/03 15:39:11 stream closed
2017/03/03 15:39:29 stream closed
2017/03/03 15:39:29 stream opened
2017/03/03 15:39:35 stream opened
2017/03/03 15:39:35 stream closed
2017/03/03 15:40:36 stream closed
2017/03/03 15:40:36 stream closed
2017/03/03 15:40:36 stream opened
2017/03/03 15:41:12 stream opened
2017/03/03 15:41:46 stream opened
2017/03/03 15:42:43 stream closed
2017/03/03 15:42:44 stream opened
2017/03/03 15:42:48 stream closed
2017/03/03 15:42:49 stream closed
2017/03/03 15:42:58 stream opened
2017/03/03 15:43:43 stream closed
2017/03/03 15:43:43 stream closed
2017/03/03 15:43:46 stream opened
2017/03/03 15:44:46 stream opened
2017/03/03 15:44:50 stream closed
2017/03/03 15:44:50 stream opened
2017/03/03 15:45:47 stream closed
2017/03/03 15:47:11 stream opened
2017/03/03 15:47:11 stream opened
2017/03/03 15:47:11 stream opened
2017/03/03 15:47:12 stream opened
2017/03/03 15:47:13 stream closed
2017/03/03 15:47:14 stream opened
2017/03/03 15:47:15 stream opened
2017/03/03 15:47:18 stream opened
2017/03/03 15:47:19 stream opened
2017/03/03 15:47:20 stream opened
2017/03/03 15:47:20 stream opened
2017/03/03 15:47:20 stream opened
2017/03/03 15:47:20 stream opened
2017/03/03 15:47:20 stream opened
2017/03/03 15:47:21 stream opened
2017/03/03 15:47:25 stream opened
2017/03/03 15:47:25 stream closed
2017/03/03 15:47:25 stream closed
2017/03/03 15:47:56 stream closed
2017/03/03 15:47:56 stream closed
2017/03/03 15:47:56 stream closed
